Source,Target,Type,Id,Label,Weight
@TvlCampagnol,Education,Undirected,5022,,1
@Berentrice,Innovation,Undirected,5023,,1
@Future_isGreat,Innovation,Undirected,5025,,1
@dylanviless,Innovation,Undirected,5026,,1
@DrFuturo_,Feedback,Undirected,5028,,1
@lixfavss,Innovation,Undirected,5029,,1
@_7,Business,Undirected,5030,,1
@_athere_,Conseil,Undirected,5031,,1
@AnthoWelc,Feedback,Undirected,5033,,1
@fredcavazza,Education,Undirected,5034,,1
@DidierGirard,Conseil,Undirected,5035,,1
@OlivierBenis,Education,Undirected,5036,,1
@malik_bmz,Education,Undirected,5037,,1
@LaurentNunez,Feedback,Undirected,5038,,1
@Anne_Mottet,Business,Undirected,5039,,1
@SeefunTwt,Conseil,Undirected,5040,,1
@Eric_Sadin,Education,Undirected,5041,,1
@LaidSeghir,Education,Undirected,5042,,1
@Pavel_FFP,Education,Undirected,5043,,1
@iammind9,Conseil,Undirected,5044,,1
@AdechinaAlao,Innovation,Undirected,5045,,1
@Chatgpeter,Education,Undirected,5046,,1
@MarianneMaximi,Feedback,Undirected,5047,,1
@llady__D,Feedback,Undirected,5048,,1
@Axzl__225,Innovation,Undirected,5049,,1
@syylllia,Feedback,Undirected,5050,,1
@Ilangabet,Education,Undirected,5051,,1
@pbeyssac,Feedback,Undirected,5053,,1
@delusion0l,Feedback,Undirected,5054,,2
@supermegadrivin,Education,Undirected,5055,,1
@sunblonded,Education,Undirected,5056,,1
@AniceLajnef,Education,Undirected,5057,,1
@edithbrou,Education,Undirected,5058,,2
@lemondefr,Education,Undirected,5059,,1
@clairemmathieu,Education,Undirected,5060,,1
@jessicanono1,Education,Undirected,5061,,2
@mikiane,Education,Undirected,5062,,1
@SophieGironi,Business,Undirected,5063,,1
@GLantrac,Innovation,Undirected,5064,,1
@Songsa93,Education,Undirected,5065,,1
@T_Nenninger,Feedback,Undirected,5066,,1
@Kocobe,Business,Undirected,5067,,1
@DrFuturo_,Education,Undirected,5068,,1
@Th0masdms,Conseil,Undirected,5069,,2
@DylanCozian,Feedback,Undirected,5070,,1
@D_Da_Silva7,Business,Undirected,5071,,1
@neiljomunsi,Conseil,Undirected,5072,,1
@CaptainDev404,Feedback,Undirected,5073,,1
@angry_prof39,Business,Undirected,5074,,1
@Develo_pas_peur,Feedback,Undirected,5075,,1
@Byzance_cstyle,Feedback,Undirected,5076,,1
@PrincessErikaPr,Innovation,Undirected,5078,,1
@AkaiCaillou,Feedback,Undirected,5079,,1
@masquedelapeste,Innovation,Undirected,5080,,1
@Phd_jeu,Feedback,Undirected,5082,,1
@Nateooos,Feedback,Undirected,5083,,1
@LeoTechMaker,Feedback,Undirected,5084,,1
@sergio_coma,Conseil,Undirected,5085,,3
@MateuilB,Feedback,Undirected,5086,,1
@julienbluteau,Education,Undirected,5087,,1
@alexjubelin,Business,Undirected,5088,,1
@nftyavez,Innovation,Undirected,5089,,1
@sorcierdelecom,Innovation,Undirected,5090,,2
@IAdvisorFR,Education,Undirected,5091,,1
@metisXentrik,Business,Undirected,5092,,1
@KieferGuillaume,Education,Undirected,5093,,1
@P,Education,Undirected,5094,,1
@labisse,Conseil,Undirected,5095,,1
@maxmntl,Innovation,Undirected,5096,,1
@lethalbjj,Education,Undirected,5097,,1
@Girleek,Conseil,Undirected,5099,,1
@Dedodante,Education,Undirected,5100,,1
@CubaEnLacoste,Education,Undirected,5101,,1
@lancinera,Education,Undirected,5102,,1
@pathus90,Education,Undirected,5103,,1
@JoStavoDebauge,Education,Undirected,5104,,1
@alex_schl,Feedback,Undirected,5105,,1
@ElisaLePrettre,Business,Undirected,5107,,1
@riro_kx,Education,Undirected,5108,,2
@AiExplorerFR,Innovation,Undirected,5110,,1
@Emichel1982,Business,Undirected,5111,,1
@infomoneypro,Education,Undirected,5112,,3
@pydathon,Business,Undirected,5115,,1
@regisjauffret,Innovation,Undirected,5116,,1
@PostByOb,Education,Undirected,5117,,1
@Mr_lobservateur,Education,Undirected,5118,,1
@Hkaisla,Feedback,Undirected,5119,,1
@jlondiche,Feedback,Undirected,5121,,1
@Gaetan_12018,Education,Undirected,5122,,1
@m_samovar,Education,Undirected,5123,,1
@Babar_le_Rhino,Business,Undirected,5124,,1
@BouramaChu94,Feedback,Undirected,5125,,1
@assimay,Feedback,Undirected,5126,,1
@Ourcarre,Conseil,Undirected,5127,,1
@MaisOuVaLeWeb,Education,Undirected,5128,,1
@FrenchHist,Education,Undirected,5129,,1
@alxgagnon,Conseil,Undirected,5130,,1
@GPoPesie,Education,Undirected,5131,,1
@Naim_Lamine,Feedback,Undirected,5132,,1
@j4zmincita,Feedback,Undirected,5133,,1
@TvlCampagnol,Feedback,Undirected,5134,,3
@ChatgptAcademy,Business,Undirected,5135,,1
@KimJongUnique,Education,Undirected,5136,,1
@TvlCampagnol,Innovation,Undirected,5137,,2
@jpdioma,Education,Undirected,5139,,1
@MonniauxD,Education,Undirected,5140,,2
@aympontier,Conseil,Undirected,5141,,1
@Fraoui1983,Education,Undirected,5142,,1
@Taigasangare,Education,Undirected,5143,,1
@dareljedid,Education,Undirected,5146,,1
@mel__bdr,Conseil,Undirected,5147,,1
@mwunh_,Education,Undirected,5148,,1
@blum4rinegirl44,Innovation,Undirected,5149,,1
@skievelavabo,Innovation,Undirected,5151,,1
@OlivierBabeau,Feedback,Undirected,5152,,1
@lereveildatlas,Conseil,Undirected,5153,,1
@vraiediscipline,Feedback,Undirected,5154,,1
@vinceflibustier,Conseil,Undirected,5155,,1
@CCCastera,Business,Undirected,5156,,1
@DSantarossa,Feedback,Undirected,5157,,1
@patchagil,Feedback,Undirected,5158,,1
@enraje,Business,Undirected,5159,,2
@JeReinforme,Innovation,Undirected,5160,,1
@OlympeReve,Innovation,Undirected,5161,,1
@Affordanceinfo2,Business,Undirected,5162,,1
@obitor_xmr,Education,Undirected,5163,,1
@dsampaolo,Business,Undirected,5164,,2
@martin_anota,Business,Undirected,5165,,1
@LeMedecinSympa,Business,Undirected,5166,,1
@adamastery,Innovation,Undirected,5167,,2
@hamidou13_,Conseil,Undirected,5168,,1
@ParresiastesPrt,Education,Undirected,5169,,1
@papagopro,Conseil,Undirected,5170,,1
@louduol,Education,Undirected,5171,,1
@qffwffq,Conseil,Undirected,5172,,1
@7IM37,Innovation,Undirected,5173,,1
@Crly__,Feedback,Undirected,5175,,1
@ludidemoldefe,Business,Undirected,5176,,1
@kevindegila,Business,Undirected,5177,,1
@JrCopywriting,Innovation,Undirected,5178,,1
@ShirleyAlmCh,Feedback,Undirected,5179,,1
@germanswinger75,Conseil,Undirected,5180,,2
@flaviieem,Education,Undirected,5181,,1
@haroldtankpinou,Business,Undirected,5182,,1
@linval59,Innovation,Undirected,5183,,1
@Docteurgang34,Education,Undirected,5184,,1
@_May,Conseil,Undirected,5185,,1
@Ange_Manou1,Business,Undirected,5186,,1
@adhavet,Conseil,Undirected,5187,,1
@neiljomunsi,Innovation,Undirected,5189,,1
@Frederic_Kingue,Business,Undirected,5190,,1
@Aln54Dz,Conseil,Undirected,5192,,1
@CryptoPicsou,Feedback,Undirected,5193,,1
@Bilataa,Feedback,Undirected,5194,,1
@AmBlk8,Conseil,Undirected,5195,,1
@cslmlarif,Business,Undirected,5196,,1
@tchantchea,Business,Undirected,5197,,2
@bonmori_,Business,Undirected,5198,,1
@nysnyy,Business,Undirected,5199,,1
@onlywooke,Business,Undirected,5200,,1
@Fealrzlnho3111,Conseil,Undirected,5201,,1
@DandumontP,Feedback,Undirected,5202,,2
@Amirdbook,Feedback,Undirected,5204,,1
@yeppi,Feedback,Undirected,5205,,1
@BrandonLKS,Innovation,Undirected,5206,,1
@mmechautard,Conseil,Undirected,5207,,1
@yvsmiine_m,Conseil,Undirected,5208,,1
@Power,Feedback,Undirected,5209,,1
@T_Nenninger,Innovation,Undirected,5210,,1
@kevindegila,Feedback,Undirected,5211,,2
@_Akanoa_,Innovation,Undirected,5212,,1
@lubaczeus,Feedback,Undirected,5213,,1
@nakluj,Conseil,Undirected,5214,,1
@CommeIvoir,Business,Undirected,5215,,1
@bersarkr93_,Feedback,Undirected,5216,,1
@_Ellexa,Conseil,Undirected,5218,,1
@labisse,Business,Undirected,5219,,1
@VirgileJambon,Education,Undirected,5220,,1
@NapoliCFrance,Feedback,Undirected,5221,,1
@LeoDuffOff,Innovation,Undirected,5222,,1
@Lyablo,Conseil,Undirected,5223,,1
@hubertguillaud,Feedback,Undirected,5224,,1
@Milizac83,Education,Undirected,5225,,1
@MonniauxD,Feedback,Undirected,5226,,3
@4nn4smr,Education,Undirected,5227,,1
@Racem,Conseil,Undirected,5228,,1
@tonux_samb,Education,Undirected,5230,,2
@P,Feedback,Undirected,5231,,1
@Ephr_L,Feedback,Undirected,5233,,1
@mvghribi,Feedback,Undirected,5234,,1
@GrablyR,Innovation,Undirected,5235,,1
@louisetourret,Education,Undirected,5236,,1
@Fabien_v31,Business,Undirected,5237,,1
@PasUnPoete,Feedback,Undirected,5238,,1
@Waydaksh,Feedback,Undirected,5239,,1
@hnjass,Education,Undirected,5240,,1
@clem_a_molette,Education,Undirected,5241,,1
@__dz,Business,Undirected,5242,,1
@__,Feedback,Undirected,5243,,1
@nakryumyt,Feedback,Undirected,5244,,1
@JeromeColombain,Innovation,Undirected,5245,,1
@miraiijo,Feedback,Undirected,5246,,2
@Lola_lmao7,Conseil,Undirected,5247,,1
@GerardAraud,Feedback,Undirected,5249,,1
@Biscuit_953_,Feedback,Undirected,5250,,1
@HonuaHonu,Business,Undirected,5251,,1
@EncoreUnZ,Business,Undirected,5252,,1
@tweetfr,Business,Undirected,5253,,1
@kevindegila,Conseil,Undirected,5254,,1
@Anike,Business,Undirected,5256,,1
@Kas_lben,Business,Undirected,5257,,1
@lydieinthetrain,Feedback,Undirected,5258,,1
@Blitz_Stream,Business,Undirected,5259,,1
@foutez_moi_la_p,Business,Undirected,5260,,1
@FerryDanini,Business,Undirected,5261,,1
@Praska,Business,Undirected,5262,,1
@sarendil,Feedback,Undirected,5263,,1
@TheRealOne,Business,Undirected,5264,,1
@IAventurier,Business,Undirected,5265,,1
@pbeyssac,Business,Undirected,5266,,1
@Madame_Poppins,Business,Undirected,5267,,1
@tweetfr,Innovation,Undirected,5268,,1
@MimeOsen,Business,Undirected,5269,,1
@afrodeezia,Feedback,Undirected,5270,,1
@babaeldoctor,Feedback,Undirected,5271,,1
@Onizukagui,Education,Undirected,5272,,1
@sabronx__,Education,Undirected,5273,,1
@gndguy,Innovation,Undirected,5274,,1
@N1ark_,Innovation,Undirected,5275,,1
@malakssm,Business,Undirected,5276,,1
@PitBill_Gates,Conseil,Undirected,5277,,1
@sorcierdelecom2,Innovation,Undirected,5278,,1
@chris_linky,Feedback,Undirected,5279,,1
@Ssaasquatch,Education,Undirected,5280,,1
@Doug_Harmoniak,Conseil,Undirected,5281,,1
@harou_rachid,Education,Undirected,5282,,1
@gchampeau,Education,Undirected,5283,,1
@gkierzek,Education,Undirected,5285,,1
@LePoint,Innovation,Undirected,5288,,1
@BetterCallMedhi,Education,Undirected,5289,,1
@TmtIris,Business,Undirected,5290,,1
@ClervilSandy,Education,Undirected,5291,,1
@Emilien_IA,Education,Undirected,5292,,1
@BastienWeb3,Business,Undirected,5293,,1
@Dy_Ndjol,Education,Undirected,5294,,1
@marilynfanyo,Business,Undirected,5295,,1
@JeanMarieCAVADA,Feedback,Undirected,5296,,1
@juanmaria_yard,Business,Undirected,5297,,1
@AldoSterone111,Education,Undirected,5298,,1
@CopylearningMax,Innovation,Undirected,5299,,2
@rowjayCOB,Business,Undirected,5300,,1
@Seoblackout,Education,Undirected,5301,,1
@profquidamn,Education,Undirected,5302,,1
@162310J,Business,Undirected,5303,,1
@goIden,Conseil,Undirected,5304,,1
@LeDonFR,Conseil,Undirected,5305,,1
@nguyen_nico,Education,Undirected,5306,,1
@floenergie,Feedback,Undirected,5307,,1
@WillCtY91,Education,Undirected,5308,,1
@Bontemps_f,Innovation,Undirected,5309,,1
@P,Business,Undirected,5310,,1
@tolosamedia2,Innovation,Undirected,5311,,1
@dsampaolo,Innovation,Undirected,5312,,1
@PageSama,Innovation,Undirected,5315,,1
@dsampaolo,Conseil,Undirected,5316,,1
@By,Conseil,Undirected,5317,,1
@charlonstone3,Business,Undirected,5318,,1
@gchampeau,Business,Undirected,5319,,1
@puteaDio,Education,Undirected,5320,,1
@AmirKnjd,Feedback,Undirected,5321,,1
@DupClarinet,Innovation,Undirected,5322,,1
@1902MN,Innovation,Undirected,5323,,1
