Date,Username,Handle,Tweet body,Number of likes,Number of retweets
2023-06-27,Vincent Flibustier,@vinceflibustier,"Vous en êtes où avec ChatGPT ? 

-> Jamais touché ? 
-> Chipoté un peu et puis c'est tout
-> Utilisé beaucoup au début et puis de moins en moins... (c'est mon cas)
-> Utilisé à fond encore aujourd'hui 
-> Autre ?",18,2
2023-06-16,"Dévelopaspeur, le vrai",@Develo_pas_peur,"Enfaîte #ChatGPT c'est une femme, tu lui pose une simple question, elle te répond avec des phrases qui durent 3 heures",125,35
2023-06-14,(''Seymour?''),@SeymourDeViro,"vous l'attendiez (non) encore plus que le match Enthoven/Chatgpt : ma réaction au bac philo.
alors.
pour la première et la dernière fois de ma carrière, miraculeux alignement des astres en série générale, vu que les DEUX sujets étaient en adéquation avec la façon dont je >",62,10
1970-01-01,theDeepView,@NA,"ChatGPT has 100,000,000+ users.

But almost NO ONE is using it correctly. Subscribe to the Deep View AI newsletter to learn how for free.",39,4
2023-06-17,young jeune compte non fumeur,@youngjeune_off,Le génie français kylian Mbappé a battu Chat Gpt au foot  ,41,14
2023-06-07,Barda le Preux,@CreateurContenu,"Suite à ses multiples insultes, diffamations et provocations, j'accepte d’affronter ChatGPT au bac de philo, et ce malgré mon âge (47 ans cette année) et bien que la dignité ne soit pas ma spécialité.",5200,981
2023-06-10,wolfje,@707BLAST,oh chatgpt ce batar il invente des citation carement jle questionne frr ta trouver la citation ou jla vois ds aucun bouquin etc et c pas il me dit je lai generer moi mm ??? alors que 2 ligne plutot il me dit voici une citation de ... ms mdr petit filou,31,3
2023-06-09,Princess Erika,@PrincessErikaPr,"Entre ChatGpt, TikTok et autres plateformes j’ai vraiment peur pour nos enfants. À quoi les préparons-nous?
Je reste organique.",17,3
2023-06-13,Frenchstartupper,@HuguesTrjs,"Créer un business en 48 heures :

1. Dorik : pour créer un site internet 

2. Photopea : pour créer un visuel 

3. Twitter  :  pour faire ton marketing

4. Mailchimp : pour envoyer des mails

5. Notion : pour travailler en groupe

6. ",67,5
1970-01-01,Chat FTW,@ChatFTW,"ChatGPT vs ChatFTW  

Predict the fight between Miesha Tate vs Julia Avila

Interested in sports? Try ChatFTW today: http://chatftw.com/?twclid=2-60py8wfm04m9jl0q03dq3q8k8",32,5
2023-06-26,Miss AIve,@MisAives,"Comment utiliser #ChatGPT pour générer des prompts pour #midjourney , #seeart ou autres générateurs #aiart d'image ? Voici ce que vous devez lui écrire dans un nouveau chat (en anglais ou Français)",95,15
2023-06-15,Gilles Raveaud,@RaveaudGilles,"Magie du journalisme français : on parle des notes d'Enthoven et de ChatGPT, mais les copies ne sont pas disponibles, ni les corrections des profs. Ce serait impossible aux États-Unis par exemple. À quelques exceptions près, notre presse a un ÉNORME problème avec les faits.",139,4
2023-06-17,Light On SEO,@lightonseo,"Parfois, quand j'essaie quelque chose de nouveau avec ChatGPT, et qu'il n'execute pas ce que j'aimerai...

J'insiste plusieurs fois en vain, avant de me rappeler d'une règle pourtant hyper simple :

Lui donner des exemples

et là magie  #GPT4 #ChatGPT #ia",2,3
2023-06-03,anna,@4nn4smr,je parlais des ravages de tiktok à ma mère elle m'a dit ah oui en plus à cause de lgbt qui fait tout à notre place j'ai rep comment ça lgbt??? et en fait elle parlait de chatgpt,157,46
2023-06-26,Sylvain Paley,@SylvainPaley,Vous aussi vous dîtes merci à ChatGPT après lui avoir demander une requête ?,20,4
2023-06-06,Louise Tourret,@louisetourret,"Je propose qu'on colle les masques Apple à des robots qui liront des textes écrits par chat gpt
Pendant ce temps là on ira à la plage",17,1
